property_number,description,cost
2024-04-03-IT0035.WC9-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC10-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC11-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC12-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC13-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC14-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC15-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC16-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC17-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC18-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC19-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC20-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC21-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC22-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC23-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
2024-04-03-IT0035.WC24-CPO,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
0000-04-03-IT0053.WC25-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC26-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC27-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC28-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC29-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC30-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC31-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC32-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC33-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC34-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC35-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC36-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC37-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC-38-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC39-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC40-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC41-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC42-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC43-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC44-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC45-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC46-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC47-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC48-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC49-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC50-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC51-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC52-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0053.WC53-CPO,"Web Camera, 
QUANTUM QHM495LM",
0000-04-03-IT0092.UPS14-CPO,"Desktop, UPS, AWP (AID1000-1000VA)
SN: E2305009044",
0000-04-03-IT0093.UPS15-CPO,"Desktop, UPS, APC(BVX1200LI-MS)
SN: 9B2335A00883",
0000-04-03-IT020.DT2.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT3.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT4.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT5.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT6.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT7.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT8.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT9.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT10.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT11.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT12.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT13.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT14.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT15.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT16.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT17.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT18.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT19.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT20.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT21.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT22.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT23.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT24.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT25.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT26.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT27.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT28.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT29.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
0000-04-03-IT020.DT30.D-CPO,"Keyboard, A4TECH
Model: KRS-85
SN: 23SAN00",
,"Omada Cloud Controller, TP-link
SN: 22070M8000921",
,"300Mbps Wireless N 4G LTE Router, TP-link
SN: 219A376001661",
,"8-Port Gigabit Easy Smart Switch with 4- Port PoE+, TP-link
SN: 220A3H7001129",
,"Omada Gigabit, TP-link",
,"Webcam, A1tech",
,"CCTV/SET, SAMSUNG MONITOR
SN: OL4UHTR200114D",
,"DVR, HIK VISION",
,"CAMERA, BULLET",
,"CAMERA, BULLET",
,"CAMERA, BULLET",
,"CAMERA, BULLET",
,"TABLET, FLARE ,CHERRY",
,"PORTABLE KIT,  CANON LK-G2",
,"WIFI CONNECTION, RUIJE/WIFI",
,"PROJECTOR, ACER, P1287
SN: 634004129559",
,"ROUTER BOARD, LHG KIT 
SN: 9CB903C73303",
,"Automatic Voltage Regulator
Secure SVC 5KVA",
,"Automatic Voltage Regulator
Secure SVC 5KVA",
,"Monitor
GAMDIAS Monitor Atlas QHD27FIC 27"""" 180Hz IPS 2560x1440 Flat Wall Bracket: Yes HDMI2.0 x 2 + DP 1.4 x 2 + Audio out
SN: NCEU82103B15630591",
,"UPS
APC BVX1200LI-MS Back up 1200VA UPS with Built-in AVR 650watts, 1IEC-C13 Outlet, 4 universal socket, No Software, GL-Fuse Type
SN: 9B2335A00883",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Computer Webcam
GSOU T16S-LED 2MP 1080P Full-HD wide angle/no distortion webcam w/mic",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Bluetooth and Wifi Dongle
TP-Link Archer T2UB Nano AC600 Nano Wi-Fi Bluetooth 4.2 USB",
,"Wireless Mouse
Logitech M185 Wireless Mouse Swift",
,"Wireless Mouse
Logitech M185 Wireless Mouse Swift",
,"Wireless Mouse
Logitech M185 Wireless Mouse Swift",
,"Wireless Mouse
Logitech M185 Wireless Mouse Swift",
,"Wireless Mouse
Logitech M185 Wireless Mouse Swift",
,"Wireless Mouse
Logitech M185 Wireless Mouse Swift",
,"Wireless Mouse
Logitech M185 Wireless Mouse Swift",
,"HDMI 2.0V Cable
Vention 4k HDMI 2.0 Cable High Speed 18Gbps supports 4k 60Hz - 5M",
,"HDMI 2.0V Cable
Vention 4k HDMI 2.0 Cable High Speed 18Gbps supports 4k 60Hz - 5M",
,"HDMI 2.0V Cable
Vention 4k HDMI 2.0 Cable High Speed 18Gbps supports 4k 60Hz - 5M",
,"HDMI 2.0V Cable
Vention 4k HDMI 2.0 Cable High Speed 18Gbps supports 4k 60Hz - 5M",
,"Noise Canceling Headphones
INPLAY HN620 HEADSET with Noise Cancellation",
,"Noise Canceling Headphones
INPLAY HN620 HEADSET with Noise Cancellation",
2024-05-03-IT0007.P5-TOD,"Bambu  Lab P1S Combo
3D Printer
Serial Nos.
02L09C4A1200436",
0000-04-02-OE005.CAM1-CPO,"DSLR Camera
EOS 1500D (W) w/18-55 IS II
SN: 912729C00692AA21798077004326",
0000-04-02-OE020.EF1-CPO,"Electric Fan, Stand fan Camel SIF-16
SN: CEF-V0625892",
0000-04-99-OtE014.B1-CPO,ZKTeco K30 Pro Fingerprint Time Attendance Device,
0000-04-02-OE023.S1-CPO,"Speaker, Platinum TR12D (PTTS-12TD)
SN: 9180424006727",
0000-04-02-OE024.TV1-CPO,"Television, TCL 32D2900 32""
SN: 1803AFY134673B00103",
0000-04-02-OE025.AC1-CPO,"Air Condition, Mabe MEI12VR (1.5hp)
Window Type
SN: MWAA12000702160615053555",
0000-04-01-FF0026.WB1-CPO,"Window Blinds 132cm
Color: White",
0000-04-01-FF0026.WB2-CPO,"Window Blinds 132cm
Color: White",
0000-04-01-FF0026.WB3-CPO,"Window Blinds 132cm
Color: White",
0000-04-02-OE014.TV2-CPO,"Television, Samsung (ED32D)
SN: 0L4UHTRH200114D",
0000-04-99-OtE023.MO1-CPO,"Microwave Oven, Fujidenzo
Model: MM-22 BL
SN: MM2220210601064",
0000-04-02-OE006.RG1-CPO,"Refrigerator, Markes Two Door Personal Refrigerator
4.3cu.ft.
Model: MRT-122SLH
S/N: MRT-122SLH20J0199",
0000-04-03-IT0072.PJ1-CPO,"Portable C200 LED Projector
Brand/Model: Acer  CWV1733
SN: MRJQC1100690700B065900",
0000-04-02-OE015.WD1-CPO,"Water Dispenser, Everest (ETWD1170)
SN: WD1170BI80322",
0000-04-99-OtE022.CM1-CPO,"Coffee Maker, Union UGCM-100
SN: 042021-00504",
0000-04-02-OE016.EF2-CPO,"Electric Fan, Stand fan, NIKON
Model: NSF16-3DLAS
SN: EF-0531220058",
0000-04-02-OE016.EF3-CPO,"Electric Fan, Stand fan, NIKON
Model: NSF16-3DLAS
SN: EF-0531220116",
0000-04-99-OtE012.G2-CPO,"Portable Generator Set
NORTON PGi800c
Engine Model: 1E45F
SN: 131200221",
0000-04-99-OtE012.G3-CPO,"Portable Generator Set
NORTON PGi800c
Engine Model: 1E45F
SN: 131200451",
0000-04-99-OtE012.G4-CPO,"Portable Generator Set
NORTON PGi800c
Engine Model: 1E45F
SN: 131200384",
0000-04-99-OtE012.G5-CPO,"Portable Generator Set
NORTON PGi800c
Engine Model: 1E45F
SN: 131200200",
0000-04-99-OtE012.G6-CPO,"Portable Generator Set
NORTON PGi800c
Engine Model: 1E45F
SN: 131200087",
0000-04-99-OtE012.G7-CPO,"Portable Generator Set
NORTON PGi800c
Engine Model: 1E45F
SN: 131200485",
0000-04-99-OtE012.G8-CPO,"Portable Generator Set
NORTON PGi800c
Engine Model: 1E45F
SN: 131200440",
0000-04-99-OtE012.G9-CPO,"Portable Generator Set
NORTON PGi800c
Engine Model: 1E45F
SN: 131200327",
0000-04-01-FF0030.OT4-CPO,"Folding Table, Lifetime 4x2 ft. (White)
Model: Lifetime 
SN: N/A",
0000-04-01-FF0030.OT5-CPO,"Folding Table, 180 x 73 cm (White)
Model: N/A
SN: N/A",
0000-04-99-OtE009.G10-CPO,"Generator, FUJIHAMA
Model: KC6500E
SN: N/A",
0000-04-02-OE004.S2-CPO,"Portable Trolley Speaker, KONZERT
Model: PA-12
SN: 11210101037",
0000-04-02-OE026.AC2-CPO,"Air Condition, National
Model: CW-1805V
SN: N/A",
0000-04-02-OE027.AC3-CPO,"Air Condition, SHARP
Model: AF-T1017CM
SN: F1832040215",
0000-04-02-OE026.AC4-CPO,"Air Condition, National
Model: CW-1805V
SN: N/A",
0000-04-02-OE027.AC5-CPO,"Air Condition, SHARP
Model: AF-T1017CM
SN: P1832040032",
0000-04-02-OE026.AC6-CPO,"Air Condition, National
Model: CW-1805V
SN: N/A",
0000-04-02-OE027.AC7-CPO,"Air Condition, SHARP
Model: AF-T1017CM
SN: P1832040330",
0000-04-02-OE009.AC8-CPO,"Air Condition, Split Type TCL
Model: TAC-19CSD/KEI2
SN: 121202ANSCW41252P100671",
0000-04-02-OE026.AC9-CPO,"Air Condition, National
Model: CW-1803VPH
SN: N/A",
0000-04-01-FF0043.OT6-CPO,"Office Table, Wooden Table (W-62.5cm, L-97cm, H-80cm)",
0000-04-01-FF0043.OT7-CPO,"Wooden office table with 2 drawers
W-45cm, L-90cm, H-72cm",
0000-04-99-OtE013.EL1-CPO,"Automatic Emergency Light, RAE
Model: EL-001
SN: N/A",
0000-04-01-FF0046.Pd1-CPO,DICT Acrylic Podium,
0000-04-99-OtE025.BR1-CPO,"Barcode Scanner, Xprinter
Model: XP-7600
SN: 1312923020289",
0000-04-99-OtE025.BR2-CPO,"Barcode Scanner, Xprinter
Model: XP-7600
SN: 1312923020297",
0000-04-99-OtE025.BR3-CPO,"Barcode Scanner, Xprinter
Model: XP-7600
SN: 1312923020296",
0000-04-02-OE028.AC10-CPO,"Air Condition, Air Curtain
Model: Uni~Air AC-1200S
SN: A-0183",
0000-04-01-FF0026.WB4-CPO,"Window Blinds 132cm
Color: White",
0000-04-01-FF0026.WB5-CPO,"Window Blinds 132cm
Color: White",
0000-04-01-FF0026.WB6-CPO,"Window Blinds 132cm
Color: White",
0000-04-01-FF0026.WB7-CPO,"Window Blinds 132cm
Color: White",
0000-04-01-FF0026.WB8-CPO,"Window Blinds 132cm
Color: White",
0000-04-01-FF0026.WB9-CPO,"Window Blinds 193cm
Color: White",
0000-04-01-FF0026.WB10-CPO,"Window Blinds 193cm
Color: White",
0000-04-01-FF0026.WB11-CPO,"Window Blinds 193cm
Color: White",
0000-05-99-OtE034.CCTV1-CPO,"CCTV Camera, HIKVISION
Model: DS-2CE76D0T-EXIPF
SN: K96808309",
0000-05-99-OtE034.CCTV2-CPO,"CCTV Camera, HIKVISION
Model: DS-2CE76D0T-EXIPF
SN: K96808246",
0000-05-99-OtE034.CCTV3-CPO,"CCTV Camera, HIKVISION
Model: DS-2CE16D0T-IRPF
SN: L15834859",
0000-05-99-OtE034.CCTV4-CPO,"CCTV Camera, HIKVISION
Model: DS-2CE16D0T-IRPF
SN: L15834856",
0000-05-99-OtE033.PS1-CPO,"CCTV Power Supply-8 Channels, HIKVISION
Model: DS-2FA1205-C8(Phi)
SN: 30070201881",
0000-05-99-OtE043.VR1-CPO,"Digital Video Recorder, HIKVISION
Model: DS-7204HGHI-F1
SN: 773217873",
0000-04-02-OE027.AC11-CPO,"Air Condition, SHARP
Model: AF-T1017CM
SN: P1832040006",
0000-04-02-OE027.AC12-CPO,"Air Condition, SHARP
Model: AF-T1017CM
SN: C008262000721",
0000-04-02-OE029.AC13-CPO,"Air Condition, GE
Model: AF-T1017CM
SN: GACA41370102160616044674",
0000-04-02-OE029.AC14-CPO,"Air Condition, GE
Model: AF-T1017CM
SN: C005603540265",
0000-04-99-OtE041.SG1-CPO,"Staple Gun, Heavy Duty
Model: Hoyoma LM-2803
SN: N/A",
,"Samsung LED LFD
ED32D
SN: 0L4UHTRH200217",
,"FUJIDENZO Microwave Oven, MM-22 BL
SN: 340D228410116211701070",
,"Electric Fan, NIKON
SN: EF 0531220116",
,"Electric Fan, NIKON
SN: EF 0531220058",
,"Electric Fan, STAND FAN ""T""
SN: CEF-Q0077884",
,"Speaker, Platinum TR12D
SN: TR12DOY181200328",
,"Speaker, KonZert Audio Video Technology
SN: 11210101037",
,"AIRCON, MABE,WINDOW TYPE",
,"AIRCON, SHARP,INVERTER WINDOWTYPE",
,"AIRCON, MABE,INVERTER WINDOW TYPE
",
,"TV 42'', TCL
SN: 1803AFY134673B00103",
,"AIRCON, GE ,INVERTER WINDOW TYPE
",
,"AIRCON, GE ,INVERTER WINDOW TYPE
",
,"AIRCON, SHARP,WIDOW TYPE",
,"AIRCON, SHARP,WIDOW TYPE",
,"AIRCON, SHARP,WIDOW TYPE",
,"TV MONITOR, 32""
SAMSUNG MONITOR
SN: OL4UHTRH200217",
,"AIRCON, NATIONAL,WINDOW TYPE",
,"AIRCON, NATIONAL,WINDOW TYPE",
,"AIRCON, NATIONAL,WINDOW TYPE",
,"AIRCON, NATIONAL,WINDOW TYPE",
,"AIRCON, SHARP, WINDOW TYPE
SN: P1832040006",
,"AIRCON, UNI-AIR, SPLIT TYPE
SN: A-0183",
0000-04-99-OtE001.EW1-CPO,"Lotus, Extension Wire 25M - 220V
Model: LTEX25CR",
0000-04-99-OtE005.PC1-CPO,"Paper Cutter 15"" x 18""",
0000-04-99-OtE024.LAM1-CPO,"Laminating Machine, Comix
Model F9050
SN: F90500|1|2050420",
0000-04-99-OtE006.G1-CPO,"Gimbal: Zhiyun
SMOOTH 4
Model: SMA04
SN: 7750AD046000430",
0000-04-02-OE005.CAM1-CPO,"DSLR Camera, Canon EOS 1500D
2729C006[AA] GS1-128
SN: 798077004326",
0000-05-99-OtE003.PS1-CPO,"Portable Power Station, Bluetti (AC200P L)
SN: 17.0301. 1396-00A0",
0000-04-99-OtE017.FRT1-CPO,"Face Recognition Terminal HIKVISION 
SN:D65902865",
0000-04-99-OtE039.VSAT1-CPO,"VSAT Newtec 1.5W/2W Ka Band
SN: 935004240168",
0000-04-99-OtE012.G1-CPO,"Portable Generator Set
NORTON PGi800c
Engine Model: 1E45F
SN: 131200109",
0000-04-99-OtE026.L1-CPO,"Ladder, Telescopic/Extension Ladder
Model: KRUGER Aluminum 11 steps
SN: N/A",
0000-04-99-OtE040.T1-CPO,"Daiken 3/8"" & 1/4"" Drive Socket 40PCS/SET
Model: DS40B
SN: N/A",
0000-04-99-OtE042.Sp1-CPO,"Sprayer, 
Model: Kawasaki 16L
SN: N/A",
0000-04-99-OtE016.RL1-CPO,"Ring Light with stand
Model: QX-260
SN: N/A",
0000-04-99-OtE019.FM1-CPO,"Fog Machine, 
Atomizer Disinfectant Spray
Brand: IDER",
0000-04-99-OtE024.LAM2-CPO,"Laminator, Comix
Model F9050
SN: F90500|1|2050419",
0000-04-99-OtE018.HV1-CPO,"Handheld Vacuum Clean: Toha
Model: TX-01",
,"Portable Generator, Norton PGI800C
SN: 131200200",
,"Portable Generator, Norton PGI800C
SN: 131200319",
,"Portable Generator, Norton PGI800C
SN: 131200440",
,"Portable Generator, Norton PGI800C
SN: 131200109",
,"Portable Generator, Norton PGI800C
SN: 131200327",
,"Portable Generator, Norton PGI800C
SN: 131200384",
,"Portable Generator, Norton PGI800C
SN: 131200087",
,"Portable Generator, Norton PGI800C
SN: 131200221",
,"Portable Generator, Norton PGI800C
SN: 131200451",
,"Portable Generator, Norton PGI800C
SN: 131200058",
,"Portable Generator, Norton PGI800C
SN: 131200485",
,"Power Supply, PS-30",
